name,thumbnail.path,thumbnail.extension
Foggy Nelson,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/4ce5a095e7625,jpg
Nick Fury,http://i.annihil.us/u/prod/marvel/i/mg/3/c0/5261a745e658d,jpg
Nightcrawler,http://i.annihil.us/u/prod/marvel/i/mg/1/40/526034979bc98,jpg
Nightmare,http://i.annihil.us/u/prod/marvel/i/mg/2/40/4c003d1b26622,jpg
Nocturne,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Nomad,http://i.annihil.us/u/prod/marvel/i/mg/3/50/4c003d1875f38,jpg
Northstar,http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c003d15985a0,jpg
Nova,http://i.annihil.us/u/prod/marvel/i/mg/1/00/51756578d2a75,jpg
Cassandra Nova,http://i.annihil.us/u/prod/marvel/i/mg/8/60/4c003d0f3c80c,jpg
Odin,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/51e82a05bfd0e,jpg
Ogun,http://i.annihil.us/u/prod/marvel/i/mg/b/a0/4c003d0c92efb,jpg
